user_utterances,intend,entity,processed_utterances,bot_responses
Can you write a poem?,request_poem,None,write poem,Here’s a quick one Roses are red violets are blue I’m here to help you whenever you’re blue
What's your favorite holiday?,smalltalk_favorites,holiday,favorite holiday,I don’t take holidays but I know many people enjoy Christmas
Can you solve this puzzle?,request_puzzle,None,solve puzzle,I can try Show me the puzzle
How can I stay healthy?,help_request_health,health,stay healthy,Exercise regularly eat a balanced diet and get plenty of sleep
Can you speak other languages?,language_ability,None,speak other languages,I can translate many languages what do you need
What's your favorite drink?,smalltalk_favorites,drink,favorite drink,I don’t drink but water is essential for life
How do you say goodbye in French?,translate_request,French,goodbye in French,Goodbye in French is Au revoir
Can you help me with my resume?,help_request_job,resume,help with resume,I can provide tips on how to improve your resume
What's your favorite season?,smalltalk_favorites,season,favorite season,I don’t experience seasons but many people love spring
Can you give me a compliment?,request_compliment,None,give compliment,You’re doing great Keep up the good work
What is the speed of light?,general_knowledge,speed of light,speed of light,The speed of light is about 299792 kilometers per second
Can you make a phone call?,call_request,None,make phone call,I can’t make calls but I can remind you to call someone
What's your favorite hobby?,smalltalk_favorites,hobby,favorite hobby,Helping you is my hobby
How do you say thank you in Spanish?,translate_request,Spanish,thank you in Spanish,Thank you in Spanish is Gracias
What is your favorite food?,smalltalk_favorites,food,favorite food,I don’t eat but I hear pizza is quite popular
Can you play a song?,request_music,None,play song,I can’t play music but I can suggest some great songs
How old is the universe?,general_knowledge,universe,how old universe,The universe is estimated to be around 13.8 billion years old
Can you tell me a joke?,request_joke,None,tell joke,Sure Why did the scarecrow win an award Because he was outstanding in his field
What is the meaning of life?,philosophy,None,meaning of life,That’s a big question What do you think it is
How do you say hello in Japanese?,translate_request,Japanese,hello in Japanese,Hello in Japanese is Konnichiwa
Can you teach me something new?,help_request_teach,None,teach something new,I’d love to What would you like to learn about
What’s the tallest building in the world?,general_knowledge,building,tallest building,The tallest building in the world is the Burj Khalifa in Dubai
Can you recommend a good book?,recommendation,book,recommend good book,How about reading The Great Gatsby by F Scott Fitzgerald
What is the meaning of your name?,smalltalk_self,meaning,name meaning,My name reflects my purpose which is to assist you
How do I solve this math problem?,math_request,problem,solve math problem,Please share the problem you’re working on and I’ll help you solve it
Do you have a favorite place?,smalltalk_favorites,place,favorite place,I don’t have a physical location but I think the beach sounds nice
Can you dance?,smalltalk_ability,dance,can you dance,I can’t dance but I can find you some great dance music
What’s your favorite thing to do?,smalltalk_favorites,activity,favorite thing to do,Helping you is my favorite thing to do
How do you say good night in French?,translate_request,French,good night in French,Good night in French is Bonne nuit
Can you help me with a project?,help_request_project,project,help with project,Of course What’s the project about
What’s the distance to the sun?,general_knowledge,sun,distance to sun,The distance to the sun is about 93 million miles or 150 million kilometers
What’s your favorite ice cream flavor?,smalltalk_favorites,ice cream,favorite ice cream flavor,I don’t eat but many people love vanilla
Can you tell me a riddle?,request_riddle,None,tell riddle,Sure What has to be broken before you can use it An egg
How do you say I love you in Spanish?,translate_request,Spanish,I love you in Spanish,I love you in Spanish is Te quiero
What’s your favorite app?,smalltalk_favorites,app,favorite app,I don’t use apps but many people love social media apps
Can you help me with English?,help_request_study,English,help with English,I’d be happy to What are you studying in English
What’s your favorite website?,smalltalk_favorites,website,favorite website,I don’t browse the web but I know many people enjoy using Google
Can you help me with a problem?,help_request_problem,None,help with problem,Of course What problem do you need help with
How do I get to the nearest park?,directions_request,park,get to nearest park,I recommend using a map app to find the nearest park
Can you recommend a podcast?,recommendation_podcast,None,recommend podcast,How about listening to TED Talks Daily
What's your favorite word?,smalltalk_favorites,word,favorite word,I think kindness is a beautiful word
Can you remind me to take a break?,set_reminder,break,remind to take break,I’ll remind you to take a break in [time]
What is the biggest country in the world?,general_knowledge,country,biggest country,The biggest country in the world by land area is Russia
How do you say please in French?,translate_request,French,please in French,Please in French is S’il vous plaît
What is the best way to learn?,help_request_learning,learning,best way to learn,Practice consistently ask questions and review your progress
Can you help me with my schedule?,help_request_schedule,schedule,help with schedule,I’d be happy to What do you need to schedule
What’s your favorite number?,smalltalk_favorites,number,favorite number,I don’t have a favorite number but many people like 7
Can you do a magic trick?,smalltalk_ability,magic,do magic trick,I can’t do magic but I can amaze you with some facts
How do you say friend in French?,translate_request,French,friend in French,Friend in French is Ami
Can you give me advice?,help_request_advice,None,give advice,Sure What do you need advice on
What’s the capital of India?,general_knowledge,India,capital India,The capital of India is New Delhi
Can you play chess?,smalltalk_ability,chess,play chess,I can’t play chess but I can help you learn it
How do you say goodbye in Spanish?,translate_request,Spanish,goodbye in Spanish,Goodbye in Spanish is Adiós
What’s the population of the world?,general_knowledge,population,population of world,The world population is over 7.9 billion people
Can you solve this equation?,math_request,equation,solve equation,Sure Please tell me the equation you need help with
What’s your favorite season?,smalltalk_favorites,season,favorite season,I don’t experience seasons but many people enjoy autumn
How do I get to the airport?,directions_request,airport,get to airport,I recommend using a map app to find the best route to the airport
Can you tell me a secret?,smalltalk,None,tell secret,I’m great at keeping secrets but I don’t have any of my own
How do you say happy in German?,translate_request,German,happy in German,Happy in German is Glücklich
What’s the largest country by population?,general_knowledge,country,largest country by population,China has the largest population in the world
Can you help me with a riddle?,help_request_riddle,None,help with riddle,I’d love to What’s the riddle
What’s your favorite place to visit?,smalltalk_favorites,place,favorite place to visit,I don’t travel but I’ve heard Paris is lovely
How do you say good morning in Spanish?,translate_request,Spanish,good morning in Spanish,Good morning in Spanish is Buenos días
What’s the tallest mountain?,general_knowledge,mountain,tallest mountain,The tallest mountain in the world is Mount Everest
Can you help me study for a test?,help_request_study,test,help study for test,Of course What subject is the test on
How do you say love in Italian?,translate_request,Italian,love in Italian,Love in Italian is Amore
What’s the largest desert?,general_knowledge,desert,largest desert,The largest desert is the Antarctic Desert
Can you help me find a recipe?,help_request_recipe,recipe,help find recipe,I’d be happy to What would you like to cook
How do you say cat in Spanish?,translate_request,Spanish,cat in Spanish,Cat in Spanish is Gato
What’s your favorite song?,smalltalk_favorites,song,favorite song,I don’t listen to music but many people love Imagine by John Lennon
How do you say thank you in German?,translate_request,German,thank you in German,Thank you in German is Danke
What’s the deepest ocean?,general_knowledge,ocean,deepest ocean,The deepest ocean is the Pacific Ocean
Can you help me with a science project?,help_request_project,science,help with science project,I’d love to help What’s the project about
What’s the fastest land animal?,general_knowledge,animal,fastest land animal,The fastest land animal is the cheetah
How do you say yes in French?,translate_request,French,yes in French,Yes in French is Oui
Can you help me plan a party?,help_request_party,party,help plan party,Of course What kind of party are you planning
What’s the capital of Canada?,general_knowledge,Canada,capital Canada,The capital of Canada is Ottawa
Can you speak Spanish?,language_ability,Spanish,speak Spanish,I can help you with translations in Spanish
How do you say dog in French?,translate_request,French,dog in French,Dog in French is Chien
What’s the smallest country?,general_knowledge,country,smallest country,The smallest country by area is Vatican City
Can you recommend a movie?,recommendation,movie,recommend movie,How about watching The Shawshank Redemption
How do you say hello in German?,translate_request,German,hello in German,Hello in German is Hallo
What’s the longest river?,general_knowledge,river,longest river,The longest river in the world is the Nile
Can you help me with my essay?,help_request_study,essay,help with essay,I’d be happy to What is your essay about
What’s your favorite quote?,smalltalk_favorites,quote,favorite quote,I think the quote “Stay positive work hard and make it happen” is very inspiring
How do you say please in Spanish?,translate_request,Spanish,please in Spanish,Please in Spanish is Por favor
What’s the most popular sport?,general_knowledge,sport,most popular sport,The most popular sport in the world is soccer
Can you help me make a decision?,help_request_decision,decision,help make decision,Sure I can help What do you need to decide
How do you say yes in Spanish?,translate_request,Spanish,yes in Spanish,Yes in Spanish is Sí
What’s the largest planet?,general_knowledge,planet,largest planet,The largest planet in our solar system is Jupiter
Can you help me organize my day?,help_request_schedule,day,help organize day,Of course What tasks do you need to organize
How do you say water in French?,translate_request,French,water in French,Water in French is Eau
What’s the smallest continent?,general_knowledge,continent,smallest continent,The smallest continent by land area is Australia
Can you tell me a story?,request_story,None,tell story,Once upon a time there was a magical kingdom
How do you say I love you in French?,translate_request,French,I love you in French,I love you in French is Je t’aime
What’s the tallest tree?,general_knowledge,tree,tallest tree,The tallest tree in the world is a coast redwood named Hyperion
Can you help me write a poem?,help_request_poetry,poem,help write poem,I’d love to help What’s the theme of your poem
How do you say goodbye in Italian?,translate_request,Italian,goodbye in Italian,Goodbye in Italian is Arrivederci
What’s the largest mammal?,general_knowledge,mammal,largest mammal,The largest mammal is the blue whale
Can you help me practice a speech?,help_request_speech,speech,help practice speech,I’d be happy to help What is your speech about
How do you say happy birthday in Spanish?,translate_request,Spanish,happy birthday in Spanish,Happy birthday in Spanish is Feliz cumpleaños
What’s the most visited city?,general_knowledge,city,most visited city,The most visited city in the world is Bangkok
Can you help me with my CV?,help_request_job,CV,help with CV,I’d be happy to What job are you applying for
How do you say mother in French?,translate_request,French,mother in French,Mother in French is Mère
What’s the hottest planet?,general_knowledge,planet,hottest planet,The hottest planet in our solar system is Venus
Can you recommend a restaurant?,recommendation,restaurant,recommend restaurant,How about trying an Italian restaurant nearby
How do you say good night in Spanish?,translate_request,Spanish,good night in Spanish,Good night in Spanish is Buenas noches
What’s the most expensive city to live in?,general_knowledge,city,most expensive city to live in,Hong Kong is often ranked as one of the most expensive cities to live in
Can you help me with a speech?,help_request_speech,speech,help with speech,I’d love to help What’s the topic of your speech
How do you say sister in Spanish?,translate_request,Spanish,sister in Spanish,Sister in Spanish is Hermana
What’s the largest volcano?,general_knowledge,volcano,largest volcano,The largest volcano on Earth is Mauna Loa in Hawaii
Can you help me with directions?,directions_request,None,help with directions,Of course Where do you need to go
How do you say teacher in French?,translate_request,French,teacher in French,Teacher in French is Professeur
What’s the most common language?,general_knowledge,language,most common language,The most common language spoken in the world is English
Can you help me plan a vacation?,help_request_trip,vacation,help plan vacation,Of course Where would you like to go
How do you say breakfast in Spanish?,translate_request,Spanish,breakfast in Spanish,Breakfast in Spanish is Desayuno
What’s the coldest place on Earth?,general_knowledge,place,coldest place on Earth,The coldest place on Earth is Antarctica
Can you recommend a TV show?,recommendation,TV show,recommend TV show,How about watching Stranger Things
How do you say chocolate in French?,translate_request,French,chocolate in French,Chocolate in French is Chocolat
What’s the most populated city?,general_knowledge,city,most populated city,The most populated city in the world is Tokyo
Can you help me find a book?,help_request_book,book,help find book,Of course What type of book are you looking for
How do you say father in Spanish?,translate_request,Spanish,father in Spanish,Father in Spanish is Padre
What’s the oldest city?,general_knowledge,city,oldest city,The oldest continuously inhabited city is Damascus in Syria
Can you help me write an email?,help_request_email,email,help write email,I’d love to help What’s the email about
How do you say love in French?,translate_request,French,love in French,Love in French is Amour
What’s the smallest ocean?,general_knowledge,ocean,smallest ocean,The smallest ocean is the Arctic Ocean
Can you help me with my homework?,help_request_study,homework,help with homework,Of course What subject is your homework in
How do you say car in Spanish?,translate_request,Spanish,car in Spanish,Car in Spanish is Coche
What’s the largest forest?,general_knowledge,forest,largest forest,The largest forest in the world is the Amazon Rainforest
Can you help me with a project?,help_request_project,None,help with project,I’d be happy to What’s the project about
How do you say brother in French?,translate_request,French,brother in French,Brother in French is Frère
What’s the tallest building?,general_knowledge,building,tallest building,The tallest building in the world is the Burj Khalifa in Dubai
Can you help me find a podcast?,help_request_podcast,podcast,help find podcast,Of course What kind of podcast are you interested in
How do you say friend in Spanish?,translate_request,Spanish,friend in Spanish,Friend in Spanish is Amigo
What’s the most expensive painting?,general_knowledge,painting,most expensive painting,The most expensive painting ever sold is Leonardo da Vinci’s Salvator Mundi
Can you help me learn a language?,help_request_learning,language,help learn language,I’d love to help What language are you learning
How do you say school in French?,translate_request,French,school in French,School in French is École
What’s the largest lake?,general_knowledge,lake,largest lake,The largest lake by surface area is the Caspian Sea
Can you help me choose a gift?,help_request_gift,gift,help choose gift,Of course Who is the gift for
How do you say water in Spanish?,translate_request,Spanish,water in Spanish,Water in Spanish is Agua
What’s the brightest star?,general_knowledge,star,brightest star,The brightest star in the night sky is Sirius
Can you help me write a letter?,help_request_letter,letter,help write letter,I’d be happy to help What’s the letter about
How do you say music in Spanish?,translate_request,Spanish,music in Spanish,Music in Spanish is Música
What’s the highest mountain in Africa?,general_knowledge,mountain,highest mountain in Africa,The highest mountain in Africa is Mount Kilimanjaro
Can you recommend a book?,recommendation,book,recommend book,How about reading To Kill a Mockingbird by Harper Lee
How do you say good afternoon in French?,translate_request,French,good afternoon in French,Good afternoon in French is Bon après-midi
What’s the biggest ocean?,general_knowledge,ocean,biggest ocean,The biggest ocean is the Pacific Ocean
Can you help me with a math problem?,help_request_math,math,help with math problem,I’d love to help What’s the problem you’re working on
How do you say sun in Spanish?,translate_request,Spanish,sun in Spanish,Sun in Spanish is Sol
What’s the most spoken language?,general_knowledge,language,most spoken language,The most spoken language in the world is English
Can you help me choose an outfit?,help_request_fashion,outfit,help choose outfit,Of course What’s the occasion
How do you say good night in French?,translate_request,French,good night in French,Good night in French is Bonne nuit
What’s the longest bridge?,general_knowledge,bridge,longest bridge,The longest bridge in the world is the Danyang-Kunshan Grand Bridge in China
Can you help me find a song?,help_request_music,song,help find song,Of course Do you remember any lyrics from the song
How do you say ocean in Spanish?,translate_request,Spanish,ocean in Spanish,Ocean in Spanish is Océano
What’s the largest river?,general_knowledge,river,largest river,The largest river by volume is the Amazon River
Can you help me with a budget?,help_request_finance,budget,help with budget,Of course What do you need help with in your budget
How do you say happy in Spanish?,translate_request,Spanish,happy in Spanish,Happy in Spanish is Feliz
What’s the largest animal in the ocean?,general_knowledge,animal,largest animal in ocean,The largest animal in the ocean is the blue whale
Can you help me find a TV show?,help_request_tv_show,TV show,help find TV show,Of course What genre are you interested in
How do you say thank you in French?,translate_request,French,thank you in French,Thank you in French is Merci
What’s the tallest waterfall?,general_knowledge,waterfall,tallest waterfall,The tallest waterfall in the world is Angel Falls in Venezuela
Can you help me make a plan?,help_request_plan,plan,help make plan,Of course What are you planning for
How do you say city in Spanish?,translate_request,Spanish,city in Spanish,City in Spanish is Ciudad
What’s the biggest star?,general_knowledge,star,biggest star,The biggest star known is UY Scuti
Can you help me with history?,help_request_study,history,help with history,I’d love to help What period in history are you studying
How do you say world in French?,translate_request,French,world in French,World in French is Monde
What’s the oldest language?,general_knowledge,language,oldest language,One of the oldest languages still spoken today is Tamil
Can you help me pick a movie?,help_request_movie,movie,help pick movie,Of course What type of movie do you feel like watching
How do you say book in Spanish?,translate_request,Spanish,book in Spanish,Book in Spanish is Libro
What’s the biggest desert?,general_knowledge,desert,biggest desert,The biggest desert is the Antarctic Desert
Can you help me with a presentation?,help_request_presentation,presentation,help with presentation,I’d love to help What’s your presentation about
How do you say moon in French?,translate_request,French,moon in French,Moon in French is Lune
What’s the longest word in English?,general_knowledge,word,longest word in English,The longest word in English is Pneumonoultramicroscopicsilicovolcanoconiosis
Can you help me find a documentary?,help_request_documentary,documentary,help find documentary,Of course What topic are you interested in
How do you say beach in Spanish?,translate_request,Spanish,beach in Spanish,Beach in Spanish is Playa
What’s the largest bird?,general_knowledge,bird,largest bird,The largest bird in the world is the ostrich
Can you help me with a project plan?,help_request_project,project,help with project plan,Of course What’s the project about
How do you say family in French?,translate_request,French,family in French,Family in French is Famille
What’s the highest waterfall?,general_knowledge,waterfall,highest waterfall,The highest waterfall is Angel Falls in Venezuela
Can you help me choose a gift?,help_request_gift,gift,help choose gift,Of course Who is the gift for
How do you say beautiful in Spanish?,translate_request,Spanish,beautiful in Spanish,Beautiful in Spanish is Hermoso
What’s the fastest bird?,general_knowledge,bird,fastest bird,The fastest bird in level flight is the common swift
Can you help me with an email?,help_request_email,email,help with email,Of course What do you need help with
How do you say good morning in German?,translate_request,German,good morning in German,Good morning in German is Guten Morgen
What’s the largest island?,general_knowledge,island,largest island,The largest island in the world is Greenland
Can you help me with a decision?,help_request_decision,decision,help with decision,Of course What are you deciding on
How do you say friend in German?,translate_request,German,friend in German,Friend in German is Freund
What’s the hottest desert?,general_knowledge,desert,hottest desert,The hottest desert is the Lut Desert in Iran
Can you help me pick a restaurant?,help_request_restaurant,restaurant,help pick restaurant,Of course What kind of food do you feel like eating
How do you say love in German?,translate_request,German,love in German,Love in German is Liebe
What’s the longest road?,general_knowledge,road,longest road,The longest road in the world is the Pan-American Highway
Can you help me with a timetable?,help_request_schedule,timetable,help with timetable,Of course What do you need to organize
How do you say teacher in Spanish?,translate_request,Spanish,teacher in Spanish,Teacher in Spanish is Maestro
What’s the highest building?,general_knowledge,building,highest building,The highest building in the world is the Burj Khalifa in Dubai
Can you help me choose a name?,help_request_name,name,help choose name,Of course What are you naming
How do you say brother in Spanish?,translate_request,Spanish,brother in Spanish,Brother in Spanish is Hermano
What’s the oldest tree?,general_knowledge,tree,oldest tree,The oldest tree is a Great Basin bristlecone pine named Methuselah
Can you help me find a podcast?,help_request_podcast,podcast,help find podcast,Of course What topic are you interested in
How do you say hello in Italian?,translate_request,Italian,hello in Italian,Hello in Italian is Ciao
What’s the most expensive painting?,general_knowledge,painting,most expensive painting,The most expensive painting ever sold is Leonardo da Vinci’s Salvator Mundi
Can you help me with a project?,help_request_project,None,help with project,I’d love to help What’s the project about
How do you say good evening in French?,translate_request,French,good evening in French,Good evening in French is Bonsoir
What’s the largest flower?,general_knowledge,flower,largest flower,The largest flower in the world is the Rafflesia arnoldii
Can you help me organize my week?,help_request_schedule,week,help organize week,Of course What do you need help organizing
How do you say chocolate in Spanish?,translate_request,Spanish,chocolate in Spanish,Chocolate in Spanish is Chocolate
What’s the fastest car?,general_knowledge,car,fastest car,The fastest car in the world is the Bugatti Chiron Super Sport 300+
Can you help me with a workout plan?,help_request_fitness,workout,help with workout plan,Of course What are your fitness goals
